"Date" "NHSBoard" "TotalAttendances" "Within4Hours" "Over4Hours" "Over8Hours" "Over12Hours"
"255" 2009-01-31 "NHS Dumfries & Galloway" 3968 3852 116 2 0
"256" 2009-01-31 "NHS Fife" 6402 6012 390 76 16
"257" 2009-01-31 "NHS Forth Valley" 5415 5263 152 5 1
"258" 2009-01-31 "NHS Grampian" 11330 10846 484 93 24
"259" 2009-01-31 "NHS Greater Glasgow & Clyde" 36003 34750 1253 64 5
"260" 2009-01-31 "NHS Highland" 7055 6931 124 1 0
"261" 2009-01-31 "NHS Lanarkshire" 15929 15387 542 117 36
"262" 2009-01-31 "NHS Lothian" 17950 17213 737 87 9
"263" 2009-01-31 "NHS Orkney" 293 292 1 * *
"264" 2009-01-31 "NHS Shetland" 764 759 5 1 0
"265" 2009-01-31 "NHS Tayside" 7597 7523 74 1 0
"266" 2009-01-31 "NHS Western Isles" 608 594 14 0 0
"267" 2009-02-28 "NHS Ayrshire & Arran" 8110 7883 227 1 0
"268" 2009-02-28 "NHS Borders" 1844 1819 25 0 0
"269" 2009-02-28 "NHS Dumfries & Galloway" 3615 3509 106 3 1
"270" 2009-02-28 "NHS Fife" 6433 6104 329 22 2
"271" 2009-02-28 "NHS Forth Valley" 5368 5139 229 7 0
"272" 2009-02-28 "NHS Grampian" 10460 9990 470 77 16
"273" 2009-02-28 "NHS Greater Glasgow & Clyde" 34727 33829 898 20 0
"274" 2009-02-28 "NHS Highland" 6468 6383 85 1 0
"275" 2009-02-28 "NHS Lanarkshire" 14577 14285 292 12 0
"276" 2009-02-28 "NHS Lothian" 17548 17140 408 25 1
"277" 2009-02-28 "NHS Orkney" 243 243 0 * *
"278" 2009-02-28 "NHS Shetland" 620 619 1 0 0
"279" 2009-02-28 "NHS Tayside" 7081 6998 83 0 0
"280" 2009-02-28 "NHS Western Isles" 584 574 10 0 0
"281" 2009-03-31 "NHS Ayrshire & Arran" 9543 9267 276 6 0
"282" 2009-03-31 "NHS Borders" 2370 2318 52 0 0
"283" 2009-03-31 "NHS Dumfries & Galloway" 4238 4099 139 1 0
"284" 2009-03-31 "NHS Fife" 7637 7285 352 9 0
"285" 2009-03-31 "NHS Forth Valley" 6338 6146 192 7 0
"286" 2009-03-31 "NHS Grampian" 12585 12110 475 43 5
"287" 2009-03-31 "NHS Greater Glasgow & Clyde" 40647 39768 879 17 2
"288" 2009-03-31 "NHS Highland" 7788 7687 101 2 1
"289" 2009-03-31 "NHS Lanarkshire" 18042 17821 221 2 0
"290" 2009-03-31 "NHS Lothian" 20919 20485 434 24 3
"291" 2009-03-31 "NHS Orkney" 234 233 1 * *
"292" 2009-03-31 "NHS Shetland" 835 833 2 0 0
"293" 2009-03-31 "NHS Tayside" 8512 8430 82 4 0
"294" 2009-03-31 "NHS Western Isles" 711 704 7 0 0
"295" 2009-04-30 "NHS Ayrshire & Arran" 9623 9323 300 7 0
"296" 2009-04-30 "NHS Borders" 2253 2200 53 0 0
"297" 2009-04-30 "NHS Dumfries & Galloway" 4319 4211 108 1 0
"298" 2009-04-30 "NHS Fife" 7636 7334 302 20 1
"299" 2009-04-30 "NHS Forth Valley" 6127 5881 246 9 0
"300" 2009-04-30 "NHS Grampian" 11921 11600 321 15 3
"301" 2009-04-30 "NHS Greater Glasgow & Clyde" 39563 38483 1080 22 0
"302" 2009-04-30 "NHS Highland" 8337 8231 106 2 0
"303" 2009-04-30 "NHS Lanarkshire" 17476 17202 274 16 0
"304" 2009-04-30 "NHS Lothian" 19905 19043 862 112 19
"305" 2009-04-30 "NHS Orkney" 279 279 0 * *
"306" 2009-04-30 "NHS Shetland" 760 757 3 0 0
"307" 2009-04-30 "NHS Tayside" 9608 9546 62 1 0
"308" 2009-04-30 "NHS Western Isles" 796 787 9 0 0
"309" 2009-05-31 "NHS Ayrshire & Arran" 10124 10028 96 1 0
"310" 2009-05-31 "NHS Borders" 2299 2251 48 0 0
"311" 2009-05-31 "NHS Dumfries & Galloway" 4490 4398 92 0 0
"312" 2009-05-31 "NHS Fife" 7360 7109 251 13 4
"313" 2009-05-31 "NHS Forth Valley" 6592 6373 219 0 0
"314" 2009-05-31 "NHS Grampian" 12832 12446 386 35 5
"315" 2009-05-31 "NHS Greater Glasgow & Clyde" 40540 39697 843 12 3
"316" 2009-05-31 "NHS Highland" 8781 8709 72 0 0
"317" 2009-05-31 "NHS Lanarkshire" 17942 17606 336 19 8
"318" 2009-05-31 "NHS Lothian" 20517 19819 698 79 12
"319" 2009-05-31 "NHS Orkney" 337 336 1 * *
"320" 2009-05-31 "NHS Shetland" 787 784 3 0 0
"321" 2009-05-31 "NHS Tayside" 9933 9858 75 1 0
"322" 2009-05-31 "NHS Western Isles" 772 769 3 0 0
"323" 2009-06-30 "NHS Ayrshire & Arran" 10070 9997 73 0 0
"324" 2009-06-30 "NHS Borders" 2166 2109 57 0 0
"325" 2009-06-30 "NHS Dumfries & Galloway" 4489 4380 109 0 0
"326" 2009-06-30 "NHS Fife" 7576 7349 227 24 17
"327" 2009-06-30 "NHS Forth Valley" 6534 6306 228 4 0
"328" 2009-06-30 "NHS Grampian" 12428 12160 268 18 2
"329" 2009-06-30 "NHS Greater Glasgow & Clyde" 40931 40060 871 12 0
"330" 2009-06-30 "NHS Highland" 8997 8915 82 0 0
"331" 2009-06-30 "NHS Lanarkshire" 17820 17552 268 10 3
"332" 2009-06-30 "NHS Lothian" 19740 19031 709 70 2
"333" 2009-06-30 "NHS Orkney" 360 359 1 * *
"334" 2009-06-30 "NHS Shetland" 778 776 2 0 0
"335" 2009-06-30 "NHS Tayside" 9633 9590 43 1 0
"336" 2009-06-30 "NHS Western Isles" 890 885 5 0 0
"337" 2009-07-31 "NHS Ayrshire & Arran" 9901 9829 72 0 0
"338" 2009-07-31 "NHS Borders" 2199 2161 38 0 0
"339" 2009-07-31 "NHS Dumfries & Galloway" 4513 4395 118 3 0
"340" 2009-07-31 "NHS Fife" 7547 7369 178 13 5
"341" 2009-07-31 "NHS Forth Valley" 6337 6038 299 7 0
"342" 2009-07-31 "NHS Grampian" 12385 12038 347 26 1
"343" 2009-07-31 "NHS Greater Glasgow & Clyde" 39699 39071 628 34 2
"344" 2009-07-31 "NHS Highland" 9307 9192 115 1 0
"345" 2009-07-31 "NHS Lanarkshire" 16648 16448 200 2 0
"346" 2009-07-31 "NHS Lothian" 18920 18500 420 17 2
"347" 2009-07-31 "NHS Orkney" 350 350 0 * *
"348" 2009-07-31 "NHS Shetland" 825 824 1 0 0
"349" 2009-07-31 "NHS Tayside" 9899 9832 67 2 0
"350" 2009-07-31 "NHS Western Isles" 859 851 8 0 0
"351" 2009-08-31 "NHS Ayrshire & Arran" 9561 9497 64 0 0
"352" 2009-08-31 "NHS Borders" 2291 2254 37 0 0
"353" 2009-08-31 "NHS Dumfries & Galloway" 4474 4325 149 0 0
"354" 2009-08-31 "NHS Fife" 7584 7402 182 4 1
"355" 2009-08-31 "NHS Forth Valley" 6390 6214 176 4 0
"356" 2009-08-31 "NHS Grampian" 12588 12217 371 14 2
"357" 2009-08-31 "NHS Greater Glasgow & Clyde" 39201 38494 707 11 1
"358" 2009-08-31 "NHS Highland" 9245 9112 133 2 1
"359" 2009-08-31 "NHS Lanarkshire" 16769 16504 265 12 5
"360" 2009-08-31 "NHS Lothian" 19905 19304 601 26 1
"361" 2009-08-31 "NHS Orkney" 332 329 3 * *
"362" 2009-08-31 "NHS Shetland" 803 799 4 0 0
"363" 2009-08-31 "NHS Tayside" 9831 9769 62 1 0
"364" 2009-08-31 "NHS Western Isles" 741 736 5 0 0
"365" 2009-09-30 "NHS Ayrshire & Arran" 9395 9316 79 2 0
"366" 2009-09-30 "NHS Borders" 2115 2067 48 0 0
"367" 2009-09-30 "NHS Dumfries & Galloway" 4239 4103 136 0 0
"368" 2009-09-30 "NHS Fife" 7455 7330 125 3 0
"369" 2009-09-30 "NHS Forth Valley" 6409 6251 158 3 0
"370" 2009-09-30 "NHS Grampian" 12610 12236 374 10 0
"371" 2009-09-30 "NHS Greater Glasgow & Clyde" 39459 38651 808 4 0
"372" 2009-09-30 "NHS Highland" 7911 7800 111 3 0
"373" 2009-09-30 "NHS Lanarkshire" 16700 16447 253 16 0
"374" 2009-09-30 "NHS Lothian" 19548 18896 652 34 0
"375" 2009-09-30 "NHS Orkney" 306 306 0 * *
"376" 2009-09-30 "NHS Shetland" 679 674 5 0 0
"377" 2009-09-30 "NHS Tayside" 9631 9590 41 0 0
"378" 2009-09-30 "NHS Western Isles" 708 700 8 0 0
"379" 2009-10-31 "NHS Ayrshire & Arran" 9395 9174 221 13 1
"380" 2009-10-31 "NHS Borders" 2040 1995 45 0 0
"381" 2009-10-31 "NHS Dumfries & Galloway" 4085 3965 120 0 0
"382" 2009-10-31 "NHS Fife" 7157 6947 210 11 1
"383" 2009-10-31 "NHS Forth Valley" 6223 6062 161 5 0
"384" 2009-10-31 "NHS Grampian" 11209 10903 306 14 2
"385" 2009-10-31 "NHS Greater Glasgow & Clyde" 39495 38545 950 22 0
"386" 2009-10-31 "NHS Highland" 7288 7189 99 2 0
"387" 2009-10-31 "NHS Lanarkshire" 16295 15844 451 48 26
"388" 2009-10-31 "NHS Lothian" 20053 19219 834 55 4
"389" 2009-10-31 "NHS Orkney" 196 196 0 * *
"390" 2009-10-31 "NHS Shetland" 660 652 8 1 0
"391" 2009-10-31 "NHS Tayside" 9257 9207 50 1 0
"392" 2009-10-31 "NHS Western Isles" 645 637 8 0 0
"393" 2009-11-30 "NHS Ayrshire & Arran" 8883 8725 158 2 0
"394" 2009-11-30 "NHS Borders" 1994 1959 35 0 0
"395" 2009-11-30 "NHS Dumfries & Galloway" 3898 3783 115 7 2
"396" 2009-11-30 "NHS Fife" 6798 6612 186 9 1
"397" 2009-11-30 "NHS Forth Valley" 5841 5653 188 8 0
"398" 2009-11-30 "NHS Grampian" 11398 11138 260 15 2
"399" 2009-11-30 "NHS Greater Glasgow & Clyde" 38953 37790 1163 34 1
"400" 2009-11-30 "NHS Highland" 6827 6740 87 0 0
"401" 2009-11-30 "NHS Lanarkshire" 15589 15262 327 25 3
"402" 2009-11-30 "NHS Lothian" 19221 18457 764 45 1
"403" 2009-11-30 "NHS Orkney" 222 221 1 * *
"404" 2009-11-30 "NHS Shetland" 684 681 3 0 0
"405" 2009-11-30 "NHS Tayside" 8999 8934 65 1 0
